iso,name,decimal,percent,year
JPN,Japan,7.80,0.83,2019
JOR,Jordan,5.91,2.77,2019
KAZ,Kazakhstan,0.48,0.51,2019
KEN,Kenya,2.23,6.17,2019
KIR,Kiribati,17.39,0.00,2019
KWT,Kuwait,0.01,0.03,2019
KGZ,Kyrgyzstan,0.00,0.00,2019
LAO,Laos,0.03,0.00,2019
LVA,Latvia,0.01,2.37,2019
LBN,Lebanon,0.00,0.03,2019
LSO,Lesotho,0.00,0.00,2019
LBR,Liberia,0.00,0.00,2019
LBY,Libya,0.02,0.00,2019
LTU,Lithuania,1.96,37.43,2019
LUX,Luxembourg,4.85,10.51,2019
MAC,Macedonia,0.45,1.99,2019
MDG,Madagascar,0.00,0.06,2019
MWI,Malawi,0.00,0.00,2019
MYS,Malaysia,0.72,0.00,2019
MDV,Maldives,0.00,0.45,2019
MLI,Mali,0.14,0.00,2019
MLT,Malta,9.44,0.00,2019
MTQ,Martinique,0.00,0.05,2019
MRT,Mauritania,14.87,8.75,2019
MUS,Mauritius,3.03,0.62,2019
MEX,Mexico,2.27,4.56,2019
MDA,Moldova,0.04,0.18,2019
MNG,Mongolia,0.61,6.16,2019
MNE,Montenegro,0.00,3.35,2019
MSR,Montserrat,0.00,0.00,2019
MAR,Morocco,5.30,11.22,2019
MOZ,Mozambique,0.01,0.00,2019
MMR,Myanmar,0.40,0.00,2019
NAM,Namibia,0.00,0.38,2019
NRU,Nauru,0.00,0.00,2019
NPL,Nepal,1.87,0.12,2019
NLD,Netherlands,5.34,8.73,2019
NCL,New Caledonia,0.00,1.26,2019
NZL,New Zealand,0.20,4.51,2019
NIC,Nicaragua,0.99,12.46,2019
NER,Niger,1.01,0.00,2019
NGA,Nigeria,0.09,0.01,2019
NIU,Niue,,,2019
PRK,North Korea,0.09,0.01,2019
NOR,Norway,0.00,2.99,2019
OMN,Oman,0.00,0.00,2019
PAK,Pakistan,1.44,1.48,2019
PSE,Palestine,0.00,0.00,2019
PAN,Panama,1.71,4.34,2019
PNG,Papua New Guinea,0.06,0.00,2019
PRY,Paraguay,0.00,0.00,2019
PER,Peru,0.56,2.24,2019
PHL,Philippines,1.26,0.91,2019
POL,Poland,0.10,9.34,2019
PRT,Portugal,2.21,25.28,2019
PRI,Puerto Rico,1.17,0.77,2019
QAT,Qatar,0.02,0.00,2019
REU,Reunion,8.21,0.42,2019
ROU,Romania,3.12,11.33,2019
RUS,Russia,0.06,0.01,2019
RWA,Rwanda,0.00,0.00,2019
SHA,Saint Helena,0.00,0.00,2019
KNA,Saint Kitts and Nevis,0.00,4.12,2019
SLA,Saint Lucia,0.26,0.00,2019
SPM,Saint Pierre and Miquelon,0.00,0.00,2019
VCT,Saint Vincent and the Grenadines,2.23,0.00,2019
WSM,Samoa,0.00,0.15,2019
STP,Sao Tome and Principe,0.00,0.00,2019
SAU,Saudi Arabia,0.20,0.00,2019
SEN,Senegal,3.78,0.00,2019
SRB,Serbia,0.04,0.18,2019
SYC,Seychelles,0.00,-0.56,2019
SLE,Sierra Leone,0.00,0.00,2019
SGP,Singapore,0.40,0.00,2019
SVK,Slovakia,1.84,0.04,2019
SVN,Slovenia,1.48,0.04,2019
SLB,Solomon Islands,3.01,0.00,2019
SOM,Somalia,4.16,1.80,2019
ZAF,South Africa,1.63,2.27,2019
SGS,South Korea,2.35,0.50,2019
SSD,South Sudan,0.67,0.00,2019
ESP,Spain,5.43,20.01,2019
LKA,Sri Lanka,0.95,1.96,2019
SDN,Sudan,0.14,0.00,2019
SUR,Suriname,0.50,0.00,2019
SWZ,Swaziland,0.19,0.00,2019
SWE,Sweden,0.13,12.67,2019
CHE,Switzerland,3.37,0.22,2019
SYR,Syria,0.00,0.00,2019
TWN,Taiwan,0.99,0.00,2019
TJK,Tajikistan,0.00,0.00,2019
TZA,Tanzania,0.25,0.00,2019
THA,Thailand,3.39,1.84,2019
TGO,Togo,1.50,0.00,2019
TON,Tonga,0.00,0.00,2019
TTO,Trinidad and Tobago,0.04,0.00,2019
TUN,Tunisia,0.80,2.31,2019
TUR,Turkey,3.39,7.32,2019
TKM,Turkmenistan,0.00,0.00,2019
TCA,Turks and Caicos Islands,0.00,0.00,2019
UGA,Uganda,1.76,0.00,2019
UKR,Ukraine,0.51,0.78,2019
ARE,United Arab Emirates,2.91,0.00,2019
GBR,United Kingdom,4.01,20.25,2019
USA,United States,2.58,7.23,2019
VIR,United States Virgin Islands,1.56,0.00,2019
URY,Uruguay,2.74,34.84,2019
UZB,Uzbekistan,0.01,0.00,2019
VUT,Vanuatu,8.80,7.04,2019
VEN,Venezuela,0.01,0.08,2019
VNM,Vietnam,2.80,0.30,2019
ANT,World,2.71,5.44,2019
YEM,Yemen,5.38,0.00,2019
ZMB,Zambia,0.05,0.00,2019
ZWE,Zimbabwe,0.18,0.00,2019
